trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_red.started,polygon_green.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.4382291000001715,7.4382291000001715,7.4382291000001715,7.4382291000001715,7.4382291000001715,7.4382291000001715,1,[0.9917692000017269],[0.9917721999991045],0,,,None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
1,0,1,0,8.417197599999781,8.417197599999781,8.417197599999781,8.417197599999781,8.417197599999781,8.417197599999781,2,"[0.9917692000017269, 0.1417505000026722]","[0.00011340000128257088, 0.1417533000021649]",0,,,None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
2,0,2,0,8.592226999997365,8.592226999997365,8.592226999997365,8.592226999997365,8.592226999997365,8.592226999997365,2,"[0.9917692000017269, 0.1417505000026722]","[0.00011340000128257088, 0.00017780000052880496]",1,[0.20460180000009132],[0.20460490000186837],None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
3,0,3,0,8.812198899999203,8.812198899999203,8.812198899999203,8.812198899999203,8.812198899999203,8.812198899999203,2,"[0.9917692000017269, 0.1417505000026722]","[0.00011340000128257088, 0.00017780000052880496]",2,"[0.20460180000009132, 0.2058458999999857]","[8.349999916390516e-05, 0.20584880000023986]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
4,0,4,0,9.03427069999816,9.03427069999816,9.03427069999816,9.03427069999816,9.03427069999816,9.03427069999816,2,"[0.9917692000017269, 0.1417505000026722]","[0.00011340000128257088, 0.00017780000052880496]",3,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834]","[8.349999916390516e-05, 8.759999764151871e-05, 0.12797139999747742]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
5,0,5,0,9.176991399999679,9.176991399999679,9.176991399999679,9.176991399999679,9.176991399999679,9.176991399999679,2,"[0.9917692000017269, 0.1417505000026722]","[0.00011340000128257088, 0.00017780000052880496]",4,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.15758999999889056]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
6,0,6,0,9.351255300000048,9.351255300000048,9.351255300000048,9.351255300000048,9.351255300000048,9.351255300000048,2,"[0.9917692000017269, 0.1417505000026722]","[0.00011340000128257088, 0.00017780000052880496]",5,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.17371020000064163]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
7,0,7,0,9.540993499998876,9.540993499998876,9.540993499998876,9.540993499998876,9.540993499998876,9.540993499998876,3,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274]","[0.00011340000128257088, 0.00017780000052880496, 0.33345509999708156]",5,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
8,0,8,0,9.889940499997465,9.889940499997465,9.889940499997465,9.889940499997465,9.889940499997465,9.889940499997465,4,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.15993000000162283]",5,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
9,0,9,0,10.047985199998948,10.047985199998948,10.047985199998948,10.047985199998948,10.047985199998948,10.047985199998948,5,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.18979340000078082]",5,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
