trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,plus.started,minus.started,win_lose.started,slider.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.565953299999819,7.565953299999819,7.565953299999819,7.565953299999819,7.565953299999819,0,,,1,[1.682748699999138],[1.682751599999392],None,None,439394,001,2023-05-05_16h41.28.794,pb,2022.2.5,236.89048079437416,
1,0,1,0,9.25869319999947,9.25869319999947,9.25869319999947,9.25869319999947,9.25869319999947,1,[0.338655599998674],[0.33865849999892816],1,[1.682748699999138],[0.034195599999293336],None,None,439394,001,2023-05-05_16h41.28.794,pb,2022.2.5,236.89048079437416,
2,0,2,0,9.613363399999798,9.613363399999798,9.613363399999798,9.613363399999798,9.613363399999798,2,"[0.338655599998674, 0.30710089999956836]","[0.07962140000017826, 0.30710369999906106]",1,[1.682748699999138],[0.034195599999293336],None,None,439394,001,2023-05-05_16h41.28.794,pb,2022.2.5,236.89048079437416,
3,0,3,0,9.935867000000144,9.935867000000144,9.935867000000144,9.935867000000144,9.935867000000144,2,"[0.338655599998674, 0.30710089999956836]","[0.07962140000017826, 0.06559790000028443]",2,"[1.682748699999138, 0.579935600000681]","[0.034195599999293336, 0.5799385000009352]",None,None,439394,001,2023-05-05_16h41.28.794,pb,2022.2.5,236.89048079437416,
4,0,4,0,10.526786299999003,10.526786299999003,10.526786299999003,10.526786299999003,10.526786299999003,2,"[0.338655599998674, 0.30710089999956836]","[0.07962140000017826, 0.06559790000028443]",2,"[1.682748699999138, 0.579935600000681]","[0.034195599999293336, 0.23213030000079016]",1700.0,0.25157449999824166,439394,001,2023-05-05_16h41.28.794,pb,2022.2.5,236.89048079437416,
5,0,5,0,10.80122879999908,10.80122879999908,10.80122879999908,10.80122879999908,10.80122879999908,2,"[0.338655599998674, 0.30710089999956836]","[0.07962140000017826, 0.06559790000028443]",3,"[1.682748699999138, 0.579935600000681, 0.2397995000010269]","[0.034195599999293336, 0.23213030000079016, 0.23980250000022352]",None,None,439394,001,2023-05-05_16h41.28.794,pb,2022.2.5,236.89048079437416,
6,0,6,0,11.056580299999041,11.056580299999041,11.056580299999041,11.056580299999041,11.056580299999041,2,"[0.338655599998674, 0.30710089999956836]","[0.07962140000017826, 0.06559790000028443]",3,"[1.682748699999138, 0.579935600000681, 0.2397995000010269]","[0.034195599999293336, 0.23213030000079016, 0.06877690000146686]",3700.0,0.5148128000000725,439394,001,2023-05-05_16h41.28.794,pb,2022.2.5,236.89048079437416,
7,0,7,0,11.597008900000219,11.597008900000219,11.597008900000219,11.597008900000219,11.597008900000219,2,"[0.338655599998674, 0.30710089999956836]","[0.07962140000017826, 0.06559790000028443]",3,"[1.682748699999138, 0.579935600000681, 0.2397995000010269]","[0.034195599999293336, 0.23213030000079016, 0.06877690000146686]",1900.0,4.352195800000118,439394,001,2023-05-05_16h41.28.794,pb,2022.2.5,236.89048079437416,
8,0,8,0,15.969122299999071,15.969122299999071,15.969122299999071,15.969122299999071,15.969122299999071,2,"[0.338655599998674, 0.30710089999956836]","[0.07962140000017826, 0.06559790000028443]",3,"[1.682748699999138, 0.579935600000681, 0.2397995000010269]","[0.034195599999293336, 0.23213030000079016, 0.06877690000146686]",3600.0,0.39025500000025204,439394,001,2023-05-05_16h41.28.794,pb,2022.2.5,236.89048079437416,
,,,,16.386118299998998,16.386118299998998,16.386118299998998,16.386118299998998,16.386118299998998,,,,,,,,,,,,,,,
