trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,6.4641694000001735,6.4641694000001735,6.4641694000001735,6.4641694000001735,0,,,1,[0.7711408000013762],[0.7711443999996845],502007,001,2023-05-05_16h39.51.185,pb,2022.2.5,235.48361268939124,
1,0,1,0,7.243180100000245,7.243180100000245,7.243180100000245,7.243180100000245,1,[0.4327393999992637],[0.43274290000044857],1,[0.7711408000013762],[0.059447800000270945],502007,001,2023-05-05_16h39.51.185,pb,2022.2.5,235.48361268939124,
2,0,2,0,7.685315999999148,7.685315999999148,7.685315999999148,7.685315999999148,2,"[0.4327393999992637, 0.49918199999956414]","[0.08942340000066906, 0.4991852999992261]",1,[0.7711408000013762],[0.059447800000270945],502007,001,2023-05-05_16h39.51.185,pb,2022.2.5,235.48361268939124,
3,0,3,0,8.195161699999517,8.195161699999517,8.195161699999517,8.195161699999517,3,"[0.4327393999992637, 0.49918199999956414, 0.18069009999999253]","[0.08942340000066906, 0.08264289999897301, 0.18069329999889305]",1,[0.7711408000013762],[0.059447800000270945],502007,001,2023-05-05_16h39.51.185,pb,2022.2.5,235.48361268939124,
4,0,4,0,8.387355099999695,8.387355099999695,8.387355099999695,8.387355099999695,4,"[0.4327393999992637, 0.49918199999956414, 0.18069009999999253, 0.15496249999887368]","[0.08942340000066906, 0.08264289999897301, 0.08351409999886528, 0.15496559999883175]",1,[0.7711408000013762],[0.059447800000270945],502007,001,2023-05-05_16h39.51.185,pb,2022.2.5,235.48361268939124,
5,0,5,0,8.55271940000057,8.55271940000057,8.55271940000057,8.55271940000057,4,"[0.4327393999992637, 0.49918199999956414, 0.18069009999999253, 0.15496249999887368]","[0.08942340000066906, 0.08264289999897301, 0.08351409999886528, 0.08178480000060517]",2,"[0.7711408000013762, 0.24635660000058124]","[0.059447800000270945, 0.24636049999935494]",502007,001,2023-05-05_16h39.51.185,pb,2022.2.5,235.48361268939124,
6,0,6,0,8.809075299999677,8.809075299999677,8.809075299999677,8.809075299999677,4,"[0.4327393999992637, 0.49918199999956414, 0.18069009999999253, 0.15496249999887368]","[0.08942340000066906, 0.08264289999897301, 0.08351409999886528, 0.08178480000060517]",3,"[0.7711408000013762, 0.24635660000058124, 0.17022320000069158]","[0.059447800000270945, 0.07339900000079069, 0.170226600001115]",502007,001,2023-05-05_16h39.51.185,pb,2022.2.5,235.48361268939124,
7,0,7,0,8.989751499999329,8.989751499999329,8.989751499999329,8.989751499999329,4,"[0.4327393999992637, 0.49918199999956414, 0.18069009999999253, 0.15496249999887368]","[0.08942340000066906, 0.08264289999897301, 0.08351409999886528, 0.08178480000060517]",4,"[0.7711408000013762, 0.24635660000058124, 0.17022320000069158, 0.1453010000004724]","[0.059447800000270945, 0.07339900000079069, 0.05617809999966994, 0.1453044999998383]",502007,001,2023-05-05_16h39.51.185,pb,2022.2.5,235.48361268939124,
8,0,8,0,9.145567300000039,9.145567300000039,9.145567300000039,9.145567300000039,5,"[0.4327393999992637, 0.49918199999956414, 0.18069009999999253, 0.15496249999887368, 0.3558804999993299]","[0.08942340000066906, 0.08264289999897301, 0.08351409999886528, 0.08178480000060517, 0.3558839999986958]",4,"[0.7711408000013762, 0.24635660000058124, 0.17022320000069158, 0.1453010000004724]","[0.059447800000270945, 0.07339900000079069, 0.05617809999966994, 0.061233700000229874]",502007,001,2023-05-05_16h39.51.185,pb,2022.2.5,235.48361268939124,
9,0,9,0,9.511061100000006,9.511061100000006,9.511061100000006,9.511061100000006,5,"[0.4327393999992637, 0.49918199999956414, 0.18069009999999253, 0.15496249999887368, 0.3558804999993299]","[0.08942340000066906, 0.08264289999897301, 0.08351409999886528, 0.08178480000060517, 0.0569550000000163]",5,"[0.7711408000013762, 0.24635660000058124, 0.17022320000069158, 0.1453010000004724, 0.22119220000058704]","[0.059447800000270945, 0.07339900000079069, 0.05617809999966994, 0.061233700000229874, 0.22119609999936074]",502007,001,2023-05-05_16h39.51.185,pb,2022.2.5,235.48361268939124,
