trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.243009899999379,5.243009899999379,5.243009899999379,5.243009899999379,1,[0.6739788999984739],[0.6739818999994895],0,,,None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
1,0,1,0,5.926108799998474,5.926108799998474,5.926108799998474,5.926108799998474,1,[0.6739788999984739],[0.057785399998465437],1,[0.3981490999995003],[0.39815210000051593],None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
2,0,2,0,6.335799899999984,6.335799899999984,6.335799899999984,6.335799899999984,2,"[0.6739788999984739, 0.41475890000037907]","[0.057785399998465437, 0.4147619000013947]",1,[0.3981490999995003],[0.05438959999992221],None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
3,0,3,0,6.765690299998823,6.765690299998823,6.765690299998823,6.765690299998823,3,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173]","[0.057785399998465437, 0.05369130000144651, 0.184710500001529]",1,[0.3981490999995003],[0.05438959999992221],None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
4,0,4,0,6.966117799998756,6.966117799998756,6.966117799998756,6.966117799998756,4,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.13618310000128986]",1,[0.3981490999995003],[0.05438959999992221],None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
5,0,5,0,7.117864899999404,7.117864899999404,7.117864899999404,7.117864899999404,5,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.1591219000001729]",1,[0.3981490999995003],[0.05438959999992221],None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
6,0,6,0,7.292379699998492,7.292379699998492,7.292379699998492,7.292379699998492,5,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194]",2,"[0.3981490999995003, 0.2927892999996402]","[0.05438959999992221, 0.29279219999989436]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
7,0,7,0,7.603703399998267,7.603703399998267,7.603703399998267,7.603703399998267,5,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194]",3,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006]","[0.05438959999992221, 0.029803999999785447, 0.18755469999996421]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
8,0,8,0,7.803118999998333,7.803118999998333,7.803118999998333,7.803118999998333,5,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194]",4,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.18761860000086017]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
9,0,9,0,8.004766299998664,8.004766299998664,8.004766299998664,8.004766299998664,5,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194]",5,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.13600899999983085]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
10,0,10,0,8.15552839999873,8.15552839999873,8.15552839999873,8.15552839999873,6,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.3194788000000699]",5,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
11,0,11,0,8.49486159999833,8.49486159999833,8.49486159999833,8.49486159999833,6,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147]",6,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.3199644999986049]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
