trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_green.started,polygon_red.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.296928299998399,5.296928299998399,5.296928299998399,5.296928299998399,5.296928299998399,5.296928299998399,1,[0.4589816999978211],[0.4589847999995982],0,,,None,None,853663,001,2023-05-09_20h25.05.559,pb,2022.2.5,236.15762105031686,
1,0,1,0,5.7710557999998855,5.7710557999998855,5.7710557999998855,5.7710557999998855,5.7710557999998855,5.7710557999998855,1,[0.4589816999978211],[0.00015180000264081173],1,[0.26573930000085966],[0.26574239999899874],None,None,853663,001,2023-05-09_20h25.05.559,pb,2022.2.5,236.15762105031686,
2,0,2,0,6.039200600000186,6.039200600000186,6.039200600000186,6.039200600000186,6.039200600000186,6.039200600000186,1,[0.4589816999978211],[0.00015180000264081173],2,"[0.26573930000085966, 0.1743696000012278]","[0.032388799998443574, 0.17437259999860544]",None,None,853663,001,2023-05-09_20h25.05.559,pb,2022.2.5,236.15762105031686,
3,0,3,0,6.229028399997333,6.229028399997333,6.229028399997333,6.229028399997333,6.229028399997333,6.229028399997333,1,[0.4589816999978211],[0.00015180000264081173],3,"[0.26573930000085966, 0.1743696000012278, 0.1433753000019351]","[0.032388799998443574, 0.031901500002277317, 0.14337850000083563]",None,None,853663,001,2023-05-09_20h25.05.559,pb,2022.2.5,236.15762105031686,
4,0,4,0,6.403541799998493,6.403541799998493,6.403541799998493,6.403541799998493,6.403541799998493,6.403541799998493,2,"[0.4589816999978211, 0.2676491000020178]","[0.00015180000264081173, 0.26765209999939543]",3,"[0.26573930000085966, 0.1743696000012278, 0.1433753000019351]","[0.032388799998443574, 0.031901500002277317, 0.04645969999910449]",None,None,853663,001,2023-05-09_20h25.05.559,pb,2022.2.5,236.15762105031686,
5,0,5,0,6.688490799999272,6.688490799999272,6.688490799999272,6.688490799999272,6.688490799999272,6.688490799999272,3,"[0.4589816999978211, 0.2676491000020178, 0.19128419999833568]","[0.00015180000264081173, 0.04815059999964433, 0.19128730000011274]",3,"[0.26573930000085966, 0.1743696000012278, 0.1433753000019351]","[0.032388799998443574, 0.031901500002277317, 0.04645969999910449]",None,None,853663,001,2023-05-09_20h25.05.559,pb,2022.2.5,236.15762105031686,
6,0,6,0,6.894527199998265,6.894527199998265,6.894527199998265,6.894527199998265,6.894527199998265,6.894527199998265,3,"[0.4589816999978211, 0.2676491000020178, 0.19128419999833568]","[0.00015180000264081173, 0.04815059999964433, 0.00011530000119819306]",4,"[0.26573930000085966, 0.1743696000012278, 0.1433753000019351, 0.2364162000012584]","[0.032388799998443574, 0.031901500002277317, 0.04645969999910449, 0.236419200002274]",None,None,853663,001,2023-05-09_20h25.05.559,pb,2022.2.5,236.15762105031686,
7,0,7,0,7.131440599998314,7.131440599998314,7.131440599998314,7.131440599998314,7.131440599998314,7.131440599998314,3,"[0.4589816999978211, 0.2676491000020178, 0.19128419999833568]","[0.00015180000264081173, 0.04815059999964433, 0.00011530000119819306]",5,"[0.26573930000085966, 0.1743696000012278, 0.1433753000019351, 0.2364162000012584, 0.19163169999956153]","[0.032388799998443574, 0.031901500002277317, 0.04645969999910449, 0.03174600000056671, 0.19163489999846206]",None,None,853663,001,2023-05-09_20h25.05.559,pb,2022.2.5,236.15762105031686,
8,0,8,0,7.354024799999024,7.354024799999024,7.354024799999024,7.354024799999024,7.354024799999024,7.354024799999024,3,"[0.4589816999978211, 0.2676491000020178, 0.19128419999833568]","[0.00015180000264081173, 0.04815059999964433, 0.00011530000119819306]",6,"[0.26573930000085966, 0.1743696000012278, 0.1433753000019351, 0.2364162000012584, 0.19163169999956153, 0.10900190000029397]","[0.032388799998443574, 0.031901500002277317, 0.04645969999910449, 0.03174600000056671, 8.729999899514951e-05, 0.10900490000130958]",None,None,853663,001,2023-05-09_20h25.05.559,pb,2022.2.5,236.15762105031686,
9,0,9,0,7.465859399999317,7.465859399999317,7.465859399999317,7.465859399999317,7.465859399999317,7.465859399999317,3,"[0.4589816999978211, 0.2676491000020178, 0.19128419999833568]","[0.00015180000264081173, 0.04815059999964433, 0.00011530000119819306]",7,"[0.26573930000085966, 0.1743696000012278, 0.1433753000019351, 0.2364162000012584, 0.19163169999956153, 0.10900190000029397, 0.14074320000145235]","[0.032388799998443574, 0.031901500002277317, 0.04645969999910449, 0.03174600000056671, 8.729999899514951e-05, 0.0321010000006936, 0.14074620000246796]",None,None,853663,001,2023-05-09_20h25.05.559,pb,2022.2.5,236.15762105031686,
