trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_red.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5.346662600000855,5.346662600000855,5.346662600000855,5.346662600000855,5.346662600000855,1,[0.5498766000018804],[0.5498800999994273],0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
1,0,1,0,5.9164994999991904,5.9164994999991904,5.9164994999991904,5.9164994999991904,5.9164994999991904,2,"[0.5498766000018804, 0.31401349999941885]","[0.000143599998409627, 0.31401700000060373]",0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
2,0,2,0,6.248383499998454,6.248383499998454,6.248383499998454,6.248383499998454,6.248383499998454,3,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876]","[0.000143599998409627, 0.00012140000035287812, 0.15776419999747304]",0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
3,0,3,0,6.406356700001197,6.406356700001197,6.406356700001197,6.406356700001197,6.406356700001197,4,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.18973790000018198]",0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
4,0,4,0,6.627095299998473,6.627095299998473,6.627095299998473,6.627095299998473,6.627095299998473,5,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.12597290000121575]",0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
5,0,5,0,6.768879300001572,6.768879300001572,6.768879300001572,6.768879300001572,6.768879300001572,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.15794699999969453]",0,,,None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
6,0,6,0,6.927909199999704,6.927909199999704,6.927909199999704,6.927909199999704,6.927909199999704,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",1,[0.33369630000015604],[0.33370039999863366],None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
7,0,7,0,7.276976799999829,7.276976799999829,7.276976799999829,7.276976799999829,7.276976799999829,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",2,"[0.33369630000015604, 0.18984459999774117]","[0.06324069999755011, 0.18984849999833386]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
8,0,8,0,7.497461999999359,7.497461999999359,7.497461999999359,7.497461999999359,7.497461999999359,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",3,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064]","[0.06324069999755011, 0.04854899999918416, 0.20749269999942044]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
9,0,9,0,7.719196499998361,7.719196499998361,7.719196499998361,7.719196499998361,7.719196499998361,6,"[0.5498766000018804, 0.31401349999941885, 0.1577608000006876, 0.1897339999995893, 0.12596940000003087, 0.15794330000062473]","[0.000143599998409627, 0.00012140000035287812, 0.031979499999579275, 0.00011860000086016953, 0.04704739999942831, 0.032770499998150626]",4,"[0.33369630000015604, 0.18984459999774117, 0.20748900000035064, 0.1585823999994318]","[0.06324069999755011, 0.04854899999918416, 0.04764499999873806, 0.15858619999926304]",None,None,974391,001,2023-05-09_20h22.08.064,pb,2022.2.5,235.0546384605705,
