1.5557 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.9711 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
5.3090 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014D6D64E220>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000014D738B46D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.3091 	EXP 	window1: mouseVisible = True
5.3092 	EXP 	window1: mouseVisible = False
5.3092 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.3092 	EXP 	window1: recordFrameIntervals = False
5.3505 	EXP 	window1: recordFrameIntervals = True
5.3602 	WARNING 	t of last frame was 5.57ms (=1/179)
5.3979 	EXP 	Screen (0) actual frame rate measured at 231.14Hz
5.3979 	EXP 	window1: recordFrameIntervals = False
6.9975 	EXP 	window1: mouseVisible = True
7.0527 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Timer', units='height', win=Window(...), wrapWidth=1)
7.0625 	EXP 	text: autoDraw = True
7.0625 	EXP 	text: height = 0.05
7.0625 	EXP 	text: height = 0.05
7.0625 	EXP 	text: height = 0.05
7.0625 	EXP 	text: text = 1.9996866000001319
7.0702 	EXP 	text: height = 0.05
7.0702 	EXP 	text: height = 0.05
7.0702 	EXP 	text: height = 0.05
7.0702 	EXP 	text: text = 1.990162500002043
7.0744 	EXP 	text: height = 0.05
7.0744 	EXP 	text: height = 0.05
7.0744 	EXP 	text: height = 0.05
7.0744 	EXP 	text: text = 1.9824420000004466
7.0805 	EXP 	text: height = 0.05
7.0805 	EXP 	text: height = 0.05
7.0805 	EXP 	text: height = 0.05
7.0805 	EXP 	text: text = 1.978300599999784
7.0846 	EXP 	text: height = 0.05
7.0846 	EXP 	text: height = 0.05
7.0846 	EXP 	text: height = 0.05
