3.2325 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
3.5356 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026E4829D340>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026E4829D2E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026E4829D040>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026E4A1D9640>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.5357 	EXP 	window1: mouseVisible = True
3.5357 	EXP 	window1: backgroundImage = ''
3.5357 	EXP 	window1: backgroundFit = 'none'
3.5357 	EXP 	window1: mouseVisible = False
3.5357 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.5358 	EXP 	window1: recordFrameIntervals = False
3.5771 	EXP 	window1: recordFrameIntervals = True
3.6231 	EXP 	Screen (0) actual frame rate measured at 240.07Hz
3.6231 	EXP 	window1: recordFrameIntervals = False
4.8550 	EXP 	window1: mouseVisible = True
4.8770 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
4.8889 	EXP 	slider: autoLog = True
4.8889 	EXP 	slider: markerPos = None
4.8889 	EXP 	slider: styleTweaks = []
4.8889 	EXP 	slider: styleTweaks = []
4.8889 	EXP 	slider: styleTweaks = []
4.8889 	EXP 	slider: styleTweaks = []
4.8889 	EXP 	slider: contrast = 1.0
4.8889 	EXP 	slider: autoLog = True
4.8889 	EXP 	slider: markerPos = None
4.8889 	EXP 	slider: markerPos = None
4.8889 	EXP 	slider: autoDraw = True
5.4602 	DATA 	Mouse: Left button down, pos=(1073,100)
5.4646 	EXP 	slider: markerPos = 3.4185185185185185
5.4713 	EXP 	slider: markerPos = 3.4185185185185185
5.4755 	EXP 	slider: markerPos = 3.4185185185185185
5.4822 	EXP 	slider: markerPos = 3.4185185185185185
5.4863 	EXP 	slider: markerPos = 3.4185185185185185
5.4929 	EXP 	slider: markerPos = 3.4185185185185185
5.4971 	EXP 	slider: markerPos = 3.4185185185185185
5.5036 	EXP 	slider: markerPos = 3.4185185185185185
5.5078 	EXP 	slider: markerPos = 3.4185185185185185
5.5146 	EXP 	slider: markerPos = 3.4185185185185185
5.5187 	EXP 	slider: markerPos = 3.4185185185185185
5.5254 	EXP 	slider: markerPos = 3.4185185185185185
5.5296 	EXP 	slider: markerPos = 3.4185185185185185
5.5352 	EXP 	slider: markerPos = 3.4185185185185185
5.5394 	EXP 	slider: markerPos = 3.4185185185185185
5.5443 	EXP 	slider: markerPos = 3.4185185185185185
5.5484 	EXP 	slider: markerPos = 3.4185185185185185
5.5538 	EXP 	slider: markerPos = 3.4185185185185185
5.5579 	EXP 	slider: markerPos = 3.4185185185185185
5.5622 	EXP 	slider: markerPos = 3.4185185185185185
5.5664 	EXP 	slider: markerPos = 3.4185185185185185
5.5707 	EXP 	slider: markerPos = 3.4185185185185185
5.5748 	EXP 	slider: markerPos = 3.4185185185185185
5.5791 	EXP 	slider: markerPos = 3.4185185185185185
5.5833 	EXP 	slider: markerPos = 3.4185185185185185
5.5877 	EXP 	slider: markerPos = 3.4185185185185185
5.5918 	EXP 	slider: markerPos = 3.4185185185185185
5.5960 	EXP 	slider: markerPos = 3.4185185185185185
5.6024 	EXP 	slider: markerPos = 3.4185185185185185
