1.1364 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.5298 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
3.8575 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B77DDB7040>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B70035C340>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.8577 	EXP 	window1: mouseVisible = True
3.8578 	EXP 	window1: mouseVisible = False
3.8578 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.8578 	EXP 	window1: recordFrameIntervals = False
3.8988 	EXP 	window1: recordFrameIntervals = True
3.9448 	EXP 	Screen (0) actual frame rate measured at 239.71Hz
3.9448 	EXP 	window1: recordFrameIntervals = False
5.2874 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
5.2881 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
5.2884 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
5.2886 	EXP 	New trial (rep=0, index=0): None
5.2944 	EXP 	text: autoDraw = True
8.3004 	EXP 	text: autoDraw = False
8.3004 	EXP 	text: autoDraw = False
8.3004 	EXP 	text_2: height = 0.05
8.3004 	EXP 	text_2: height = 0.05
8.3004 	EXP 	text_2: height = 0.05
8.3004 	EXP 	text_2: text = 'Fixation Time: 3 seconds.'
8.3004 	EXP 	text_2: autoDraw = True
9.2943 	EXP 	New trial (rep=1, index=0): None
9.2983 	EXP 	text_2: autoDraw = False
9.2983 	EXP 	text: autoDraw = True
12.2995 	EXP 	text: autoDraw = False
12.2995 	EXP 	text: autoDraw = False
12.2995 	EXP 	text_2: text = 'Fixation Time: 3 seconds.'
12.2995 	EXP 	text_2: autoDraw = True
13.2968 	EXP 	New trial (rep=2, index=0): None
13.3008 	EXP 	text_2: autoDraw = False
13.3008 	EXP 	text: autoDraw = True
14.3034 	EXP 	text: autoDraw = False
14.3034 	EXP 	text: autoDraw = False
14.3034 	EXP 	text_2: height = 0.05
14.3034 	EXP 	text_2: height = 0.05
14.3034 	EXP 	text_2: height = 0.05
14.3034 	EXP 	text_2: text = 'Fixation Time: 1 seconds.'
14.3034 	EXP 	text_2: autoDraw = True
15.3003 	EXP 	New trial (rep=3, index=0): None
15.3043 	EXP 	text_2: autoDraw = False
15.3043 	EXP 	text: autoDraw = True
18.3032 	EXP 	text: autoDraw = False
18.3032 	EXP 	text: autoDraw = False
18.3032 	EXP 	text_2: height = 0.05
18.3032 	EXP 	text_2: height = 0.05
18.3032 	EXP 	text_2: height = 0.05
18.3032 	EXP 	text_2: text = 'Fixation Time: 3 seconds.'
18.3032 	EXP 	text_2: autoDraw = True
19.3003 	EXP 	New trial (rep=4, index=0): None
19.3042 	EXP 	text_2: autoDraw = False
19.3042 	EXP 	text: autoDraw = True
20.3063 	EXP 	text: autoDraw = False
20.3063 	EXP 	text: autoDraw = False
20.3063 	EXP 	text_2: height = 0.05
20.3063 	EXP 	text_2: height = 0.05
20.3063 	EXP 	text_2: height = 0.05
20.3063 	EXP 	text_2: text = 'Fixation Time: 1 seconds.'
20.3063 	EXP 	text_2: autoDraw = True
21.3063 	EXP 	text_2: autoDraw = False
21.3554 	EXP 	window1: mouseVisible = True
