1.1302 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.4597 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
3.7579 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000231913FBFD0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000231932FC280>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.7579 	EXP 	window1: mouseVisible = True
3.7580 	EXP 	window1: mouseVisible = False
3.7580 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.7580 	EXP 	window1: recordFrameIntervals = False
3.7998 	EXP 	window1: recordFrameIntervals = True
3.8458 	EXP 	Screen (0) actual frame rate measured at 239.55Hz
3.8458 	EXP 	window1: recordFrameIntervals = False
5.1912 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
5.1920 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
5.1924 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
5.1925 	EXP 	New trial (rep=0, index=0): None
5.2023 	EXP 	text: autoDraw = True
6.2103 	EXP 	text: autoDraw = False
6.2103 	EXP 	text: autoDraw = False
6.2103 	EXP 	text_2: height = 0.05
6.2103 	EXP 	text_2: height = 0.05
6.2103 	EXP 	text_2: height = 0.05
6.2103 	EXP 	text_2: text = 'Fixation Time: 1'
6.2103 	EXP 	text_2: autoDraw = True
7.2025 	EXP 	New trial (rep=1, index=0): None
7.2064 	EXP 	text_2: autoDraw = False
7.2064 	EXP 	text: autoDraw = True
10.2067 	EXP 	text: autoDraw = False
10.2067 	EXP 	text: autoDraw = False
10.2067 	EXP 	text_2: height = 0.05
10.2067 	EXP 	text_2: height = 0.05
10.2067 	EXP 	text_2: height = 0.05
10.2067 	EXP 	text_2: text = 'Fixation Time: 3'
10.2067 	EXP 	text_2: autoDraw = True
11.2044 	EXP 	New trial (rep=2, index=0): None
11.2084 	EXP 	text_2: autoDraw = False
11.2084 	EXP 	text: autoDraw = True
14.2077 	EXP 	text: autoDraw = False
14.2077 	EXP 	text: autoDraw = False
14.2077 	EXP 	text_2: text = 'Fixation Time: 3'
14.2077 	EXP 	text_2: autoDraw = True
15.2048 	EXP 	New trial (rep=3, index=0): None
15.2088 	EXP 	text_2: autoDraw = False
15.2088 	EXP 	text: autoDraw = True
16.2098 	EXP 	text: autoDraw = False
16.2098 	EXP 	text: autoDraw = False
16.2098 	EXP 	text_2: height = 0.05
16.2098 	EXP 	text_2: height = 0.05
16.2098 	EXP 	text_2: height = 0.05
16.2098 	EXP 	text_2: text = 'Fixation Time: 1'
16.2098 	EXP 	text_2: autoDraw = True
17.2071 	EXP 	New trial (rep=4, index=0): None
17.2108 	EXP 	text_2: autoDraw = False
17.2108 	EXP 	text: autoDraw = True
20.2139 	EXP 	text: autoDraw = False
20.2139 	EXP 	text: autoDraw = False
20.2139 	EXP 	text_2: height = 0.05
20.2139 	EXP 	text_2: height = 0.05
20.2139 	EXP 	text_2: height = 0.05
20.2139 	EXP 	text_2: text = 'Fixation Time: 3'
20.2139 	EXP 	text_2: autoDraw = True
21.2149 	EXP 	text_2: autoDraw = False
21.2693 	EXP 	window1: mouseVisible = True
