3.3238 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
3.6121 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002910FE0E3A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002910FE0E340>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002910FE0E070>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000029111D296A0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.6121 	EXP 	window1: mouseVisible = True
3.6121 	EXP 	window1: backgroundImage = ''
3.6121 	EXP 	window1: backgroundFit = 'none'
3.6122 	EXP 	window1: mouseVisible = False
3.6122 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.6122 	EXP 	window1: recordFrameIntervals = False
3.6534 	EXP 	window1: recordFrameIntervals = True
3.6994 	EXP 	Screen (0) actual frame rate measured at 239.38Hz
3.6994 	EXP 	window1: recordFrameIntervals = False
4.9670 	EXP 	window1: mouseVisible = True
4.9772 	EXP 	window1: mouseVisible = True
4.9875 	EXP 	window1: mouseVisible = True
4.9875 	EXP 	window1: mouseVisible = True
5.0384 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
5.0500 	EXP 	text: autoDraw = True
5.2963 	DATA 	Mouse: Left button down, pos=(924,554)
5.3352 	EXP 	text: height = 0.05
5.3352 	EXP 	text: height = 0.05
5.3352 	EXP 	text: height = 0.05
