3.1830 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
3.4926 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022810577070>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022810566580>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022810566D30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000228124893D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.4927 	EXP 	window1: mouseVisible = True
3.4927 	EXP 	window1: backgroundImage = ''
3.4927 	EXP 	window1: backgroundFit = 'none'
3.4927 	EXP 	window1: mouseVisible = False
3.4928 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.4928 	EXP 	window1: recordFrameIntervals = False
3.5341 	EXP 	window1: recordFrameIntervals = True
3.5801 	EXP 	Screen (0) actual frame rate measured at 239.50Hz
3.5801 	EXP 	window1: recordFrameIntervals = False
4.8454 	EXP 	window1: mouseVisible = True
4.8558 	EXP 	window1: mouseVisible = True
4.8659 	EXP 	window1: mouseVisible = True
4.8660 	EXP 	window1: mouseVisible = True
4.9178 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
4.9280 	EXP 	text: autoDraw = True
5.3231 	DATA 	Mouse: Left button down, pos=(845,594)
5.3365 	EXP 	text: height = 0.05
5.3365 	EXP 	text: height = 0.05
5.3365 	EXP 	text: height = 0.05
5.3365 	EXP 	text: text = 'button_2'
5.3416 	EXP 	text: text = 'button_2'
5.3463 	EXP 	text: text = 'button_2'
5.3539 	EXP 	text: text = 'button_2'
5.3587 	EXP 	text: text = 'button_2'
5.3655 	EXP 	text: text = 'button_2'
5.3702 	EXP 	text: text = 'button_2'
5.3759 	EXP 	text: text = 'button_2'
5.3812 	EXP 	text: text = 'button_2'
5.3866 	EXP 	text: text = 'button_2'
5.3913 	EXP 	text: text = 'button_2'
5.3966 	EXP 	text: text = 'button_2'
5.4013 	EXP 	text: text = 'button_2'
5.4061 	EXP 	text: text = 'button_2'
5.4117 	EXP 	text: text = 'button_2'
5.4169 	EXP 	text: text = 'button_2'
5.4216 	EXP 	text: text = 'button_2'
5.4263 	EXP 	text: text = 'button_2'
5.4310 	EXP 	text: text = 'button_2'
5.4352 	DATA 	Mouse:  Left button up, pos=(845,594)
5.4358 	EXP 	text: text = 'button_2'
5.4402 	EXP 	text: text = 'button_2'
5.4452 	EXP 	text: text = 'button_2'
5.4496 	EXP 	text: text = 'button_2'
5.4539 	EXP 	text: text = 'button_2'
5.4581 	EXP 	text: text = 'button_2'
5.4625 	EXP 	text: text = 'button_2'
5.4669 	EXP 	text: text = 'button_2'
5.4712 	EXP 	text: text = 'button_2'
5.4757 	EXP 	text: text = 'button_2'
5.4802 	EXP 	text: text = 'button_2'
5.4845 	EXP 	text: text = 'button_2'
5.4888 	EXP 	text: text = 'button_2'
5.4930 	EXP 	text: text = 'button_2'
5.4974 	EXP 	text: text = 'button_2'
5.5017 	EXP 	text: text = 'button_2'
5.5066 	EXP 	text: text = 'button_2'
