Condtion_Type,Slider_Type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,categorical.started,text.started,categorical.response,categorical.rt,continuous.response,continuous.rt,continuous.started,participant,session,date,expName,psychopyVersion,frameRate,
2,1,0,0,0,10,6.642291399999976,6.642291399999976,3.0,3.201434400000153,None,None,,736784,001,2023-02-26_00h41.01.579,Start10,2023.1.0,240.48231132344432,
1,0,0,1,1,0,,9.816766000000143,None,None,1.6703703703703703,2.1727630000000318,9.816766000000143,736784,001,2023-02-26_00h41.01.579,Start10,2023.1.0,240.48231132344432,
1,1,0,2,2,5,12.002460300000166,12.002460300000166,2.0,1.8319642000001295,None,None,,736784,001,2023-02-26_00h41.01.579,Start10,2023.1.0,240.48231132344432,
2,1,0,3,3,11,13.844075700000076,13.844075700000076,1.0,1.5997842999997829,None,None,,736784,001,2023-02-26_00h41.01.579,Start10,2023.1.0,240.48231132344432,
1,1,0,4,4,3,15.453555000000051,15.453555000000051,5.0,1.0462608999998793,None,None,,736784,001,2023-02-26_00h41.01.579,Start10,2023.1.0,240.48231132344432,
1,0,0,5,5,1,,16.51015920000009,None,None,2.225925925925926,1.1751589999998941,16.51015920000009,736784,001,2023-02-26_00h41.01.579,Start10,2023.1.0,240.48231132344432,
2,1,0,6,6,9,17.698532999999998,17.698532999999998,2.0,1.3104854999999134,None,None,,736784,001,2023-02-26_00h41.01.579,Start10,2023.1.0,240.48231132344432,
1,1,0,7,7,4,19.019054100000176,19.019054100000176,1.0,0.9717176999999992,None,None,,736784,001,2023-02-26_00h41.01.579,Start10,2023.1.0,240.48231132344432,
1,0,0,8,8,2,,20.000685599999997,None,None,4.992592592592593,0.9566199999999299,20.000685599999997,736784,001,2023-02-26_00h41.01.579,Start10,2023.1.0,240.48231132344432,
2,0,0,9,9,7,,20.970752000000175,None,None,3.7592592592592595,0.9782029000000421,20.970752000000175,736784,001,2023-02-26_00h41.01.579,Start10,2023.1.0,240.48231132344432,
,,,,,,,21.96269630000006,,,,,21.96269630000006,,,,,,,
