1.5051 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
3.9573 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.3018 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022C642C0130>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022C6A7F76D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.3018 	EXP 	window1: mouseVisible = True
4.3019 	EXP 	window1: mouseVisible = False
4.3019 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.3019 	EXP 	window1: recordFrameIntervals = False
4.3432 	EXP 	window1: recordFrameIntervals = True
4.3901 	EXP 	Screen (0) actual frame rate measured at 234.46Hz
4.3902 	EXP 	window1: recordFrameIntervals = False
6.0570 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='asd', units='height', win=Window(...), wrapWidth=1)
6.0663 	EXP 	textbox: autoLog = True
6.0663 	EXP 	textbox: autoDraw = True
6.0663 	EXP 	text_2: autoDraw = True
6.0663 	EXP 	text_2: height = 0.05
6.0663 	EXP 	text_2: height = 0.05
6.0663 	EXP 	text_2: height = 0.05
6.0663 	EXP 	text_2: text = 0
6.0704 	EXP 	text_2: height = 0.05
6.0704 	EXP 	text_2: height = 0.05
6.0704 	EXP 	text_2: height = 0.05
6.0704 	EXP 	text_2: text = 0
6.0778 	EXP 	text_2: height = 0.05
6.0778 	EXP 	text_2: height = 0.05
6.0778 	EXP 	text_2: height = 0.05
6.0778 	EXP 	text_2: text = 0
6.0818 	EXP 	text_2: height = 0.05
6.0818 	EXP 	text_2: height = 0.05
6.0818 	EXP 	text_2: height = 0.05
6.0818 	EXP 	text_2: text = 0
6.0887 	EXP 	text_2: height = 0.05
6.0887 	EXP 	text_2: height = 0.05
6.0887 	EXP 	text_2: height = 0.05
6.0887 	EXP 	text_2: text = 0
6.0928 	EXP 	text_2: height = 0.05
6.0928 	EXP 	text_2: height = 0.05
6.0928 	EXP 	text_2: height = 0.05
6.0928 	EXP 	text_2: text = 0
6.0992 	EXP 	text_2: height = 0.05
6.0992 	EXP 	text_2: height = 0.05
6.0992 	EXP 	text_2: height = 0.05
6.0992 	EXP 	text_2: text = 0
6.1033 	EXP 	text_2: height = 0.05
6.1033 	EXP 	text_2: height = 0.05
6.1033 	EXP 	text_2: height = 0.05
6.1033 	EXP 	text_2: text = 0
6.1100 	EXP 	text_2: height = 0.05
6.1100 	EXP 	text_2: height = 0.05
6.1100 	EXP 	text_2: height = 0.05
6.1100 	EXP 	text_2: text = 0
6.1141 	EXP 	text_2: height = 0.05
6.1141 	EXP 	text_2: height = 0.05
6.1141 	EXP 	text_2: height = 0.05
6.1141 	EXP 	text_2: text = 0
6.1207 	EXP 	text_2: height = 0.05
6.1207 	EXP 	text_2: height = 0.05
6.1207 	EXP 	text_2: height = 0.05
6.1207 	EXP 	text_2: text = 0
6.1248 	EXP 	text_2: height = 0.05
6.1248 	EXP 	text_2: height = 0.05
6.1248 	EXP 	text_2: height = 0.05
6.1248 	EXP 	text_2: text = 0
6.1314 	EXP 	text_2: height = 0.05
6.1314 	EXP 	text_2: height = 0.05
